boot	bucket	end	seconds	ctx596_divergence	reason	serial	ret_dispatch_refusals	resume_pc_refusals	percpu_stack_aliens	cpu_identity_splits	ret_stage_refusals	lr_nontext
1	BOOT_TEST_FAIL	early	24	0	boot test failure: [TEST:syscall:udp_socket_lock_oracle:FAIL:a with_locked_masked holder was interruptible on its own CPU] (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/n956/wt/.gate-tmp/service/max/serial-1.txt	0	0	0	0	0	0
2	GREEN	early	24	0	all service-sequence and P5b markers observed (qemu_status=0)	/private/tmp/claude-501/-Users-wrb-fun-code-breenix/d69ffb9d-4539-4cf3-8a3d-a872ff7c830b/scratchpad/n956/wt/.gate-tmp/service/max/serial-2.txt	0	0	0	0	0	0
