boot	status	reason	max_uptime_ms	last_completion_ms	final_fps	final_completes	rescue_tid13	stuck_tid13	softlock	cpu0_regression	far_0xccd	panic_or_exception	poll_markers	max_busy_ms	serial_bytes	vm
boot-1	fail	gpu_pci_lock_busy_gt_5s	222571	220573	130	121166	5	0	0	0	0	0	1	15007	  111713	breenix-1779186957
boot-2	fail	gpu_pci_lock_busy_gt_5s	221409	220432	215	142271	5	0	0	0	0	0	1	10004	  109425	breenix-1779188680
boot-3	fail	gpu_pci_lock_busy_gt_5s	250434	250430	186	140612	1	0	0	0	0	0	0	15007	   64321	breenix-1779190321
boot-4	fail	gpu_pci_lock_busy_gt_5s	315454	315454	212	188765	0	0	0	0	0	0	0	25014	   64606	breenix-1779190688
boot-5	fail	gpu_pci_lock_busy_gt_5s	221423	220436	216	137201	5	0	0	0	0	0	1	10005	  110754	breenix-1779191520
