boot	bucket	end	seconds	ctx596_divergence	reason	serial	ret_dispatch_refusals	resume_pc_refusals	percpu_stack_aliens	cpu_identity_splits	ret_stage_refusals	lr_nontext
1	GREEN	early	69	0	all service-sequence and P5b markers observed (qemu_status=0)	/tmp/breenix_aarch64_service_sequence_gate_20260907T213923Z-39768/cortex-a72/serial-1.txt	0	0	0	0	0	8
2	GREEN	early	69	0	all service-sequence and P5b markers observed (qemu_status=0)	/tmp/breenix_aarch64_service_sequence_gate_20260907T213923Z-39768/cortex-a72/serial-2.txt	0	0	0	0	0	8
