# tracer: function
#
# entries-in-buffer/entries-written: 739/739   #P:4
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [002] d.h1. 83409.089338: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [002] d.h1. 83409.089340: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.089528: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.089529: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.099380: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.099385: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.147384: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.147391: irq_handler_exit: irq=10 ret=handled
     kworker/1:1-6214    [001] ..... 83409.147470: virtio_gpu_notify <-virtio_gpu_primary_plane_update
     kworker/1:1-6214    [001] ...1. 83409.147470: virtqueue_kick_prepare <-virtio_gpu_notify
     kworker/1:1-6214    [001] ..... 83409.147470: virtqueue_notify <-virtio_gpu_notify
          <idle>-0       [000] d.h1. 83409.148066: irq_handler_entry: irq=28 name=virtio2-virtqueues
          <idle>-0       [000] d.h1. 83409.148067: vp_vring_interrupt <-__handle_irq_event_percpu
          <idle>-0       [000] d.h2. 83409.148067: vring_interrupt <-vp_vring_interrupt
          <idle>-0       [000] d.h2. 83409.148068: vring_interrupt <-vp_vring_interrupt
          <idle>-0       [000] d.h2. 83409.148068: virtio_gpu_ctrl_ack <-vring_interrupt
          <idle>-0       [000] dNh1. 83409.148072: irq_handler_exit: irq=28 ret=handled
     kworker/0:0-5760    [000] ..... 83409.148079: virtio_gpu_dequeue_ctrl_func <-process_one_work
     kworker/0:0-5760    [000] ...1. 83409.148080: virtqueue_get_buf <-reclaim_vbufs
