747:[TRACE] CPU0 idx=206 ts=1391793992 type=0xff3a DEFER_REQUEUE_SP sp_low32=1411801088
748:[TRACE] CPU0 idx=207 ts=1391793993 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1073778948
749:[TRACE] CPU0 idx=208 ts=1391793993 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1073779000
750:[TRACE] CPU0 idx=209 ts=1391793993 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=3074
752:[TRACE] CPU0 idx=211 ts=1391823889 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=65550
753:[TRACE] CPU0 idx=212 ts=1391823889 type=0xff3a DEFER_REQUEUE_SP sp_low32=1411801088
754:[TRACE] CPU0 idx=213 ts=1391823889 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1073778948
755:[TRACE] CPU0 idx=214 ts=1391823890 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1073779000
756:[TRACE] CPU0 idx=215 ts=1391823892 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=3074
759:[TRACE] CPU0 idx=218 ts=1391900552 type=0x0001 CTX_SWITCH_ENTRY old_tid<<16|new_tid=14
761:[TRACE] CPU0 idx=220 ts=1391900554 type=0xff39 DEFER_REQUEUE_STAGE stage<<16|tid=196608
762:[TRACE] CPU0 idx=221 ts=1391900554 type=0xff3a DEFER_REQUEUE_SP sp_low32=1107296064
763:[TRACE] CPU0 idx=222 ts=1391900554 type=0xff3b DEFER_REQUEUE_ELR elr_low32=1074588060
764:[TRACE] CPU0 idx=223 ts=1391900554 type=0xff3c DEFER_REQUEUE_X30 x30_low32=1074588060
765:[TRACE] CPU0 idx=224 ts=1391900554 type=0xff3d DEFER_REQUEUE_FLAGS aux_tid<<16|flags=1281
771:[TRACE] CPU0 idx=230 ts=1391900606 type=0x0703 VIRTGPU_Q_COMPLETE used_idx_after<<16|head_desc_idx=1745682432
772:[TRACE] CPU0 idx=231 ts=1391900606 type=0x0711 VIRTGPU_WAIT_COMPLETION_EXIT resource_id<<16|cmd_type=131589
773:[TRACE] CPU0 idx=232 ts=1391900608 type=0x0704 VIRTGPU_RESPONSE resp_type=4352
774:[TRACE] CPU0 idx=233 ts=1391900615 type=0x0700 VIRTGPU_CMD_SUBMIT seq<<16|cmd_type=1745551619
775:[TRACE] CPU0 idx=234 ts=1391900615 type=0x0701 VIRTGPU_CMD_RESOURCE resource_id=2
776:[TRACE] CPU0 idx=235 ts=1391900616 type=0x0702 VIRTGPU_Q_NOTIFY used_idx_before<<16|head_desc_idx=1745682432
