240:[ahci] Platform AHCI at phys 0x2140000, virt 0xffff000002140000
249:[drivers] AHCI initialized (platform MMIO): 2 SATA device(s)
272:[ext2] No VirtIO block device, trying AHCI...
273:[ext2] AHCI device 0: 131072 sectors (64 MB)
274:[ext2] AHCI device 0: not ext2 (magic=0x0064)
275:[ext2] AHCI device 1: 524288 sectors (256 MB)
276:[ext2] Found ext2 superblock on AHCI device 1
247109:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
248127:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
255414:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
256432:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
263720:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
264739:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
272026:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
273044:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
280331:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
281349:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
288636:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
289654:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
296946:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
297964:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
305251:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
306269:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
313556:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
314574:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
321861:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
322879:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
330168:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
331186:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
338473:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
339491:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
346756:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
347774:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
355061:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
356079:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
363367:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
364386:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
371674:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
372692:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
379979:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
380968:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
388255:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
389273:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
396561:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
397580:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
404867:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
405885:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
413172:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
414190:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
421477:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
422495:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
429784:[TRACE] CPU5 idx=543 ts=1393061681 type=0xff13 EL1_INLINE_ABORT x30_low32=0
430802:[TRACE] CPU6 idx=857 ts=1393045846 type=0xff13 EL1_INLINE_ABORT x30_low32=0
