# tracer: nop
#
# entries-in-buffer/entries-written: 1338/1338   #P:2
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
     kworker/0:0-3233    [000] d..1. 36819.062559: xhci_get_port_status: port 2-0: 0x00001203 Powered Connected Enabled Link:U0 PortSpeed:4 Change: Wake: 
     kworker/0:0-3233    [000] d..1. 36819.062580: xhci_queue_trb: CMD: Enable Slot Command: flags C
     kworker/0:0-3233    [000] d..1. 36819.062581: xhci_inc_enq: CMD 000000003daf44b1: enq 0x000000004fbf3010(0x000000004fbf3000) deq 0x000000004fbf3000(0x000000004fbf3000) segs 1 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.062583: xhci_ring_host_doorbell: Ring doorbell for Command Ring 0
          <idle>-0       [000] d.h2. 36819.062641: xhci_handle_event: EVENT: TRB 000000004fbf3000 status 'Success' len 0 slot 1 ep 0 type 'Command Completion Event' flags e:C
          <idle>-0       [000] d.h2. 36819.062642: xhci_handle_command: CMD: Enable Slot Command: flags C
          <idle>-0       [000] dNh2. 36819.062646: xhci_inc_deq: CMD 000000003daf44b1: enq 0x000000004fbf3010(0x000000004fbf3000) deq 0x000000004fbf3010(0x000000004fbf3000) segs 1 stream 0 bounce 0 cycle 1
          <idle>-0       [000] dNh2. 36819.062647: xhci_inc_deq: EVENT 0000000025a93397: enq 0x000000004fbf4000(0x000000004fbf4000) deq 0x000000004fbf4010(0x000000004fbf4000) segs 1 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] ..... 36819.062675: xhci_ring_alloc: CTRL 00000000b5ea8a38: enq 0x0000000061549000(0x0000000061549000) deq 0x0000000061549000(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] ..... 36819.062676: xhci_alloc_virt_device: vdev 000000008c37d6e7 ctx 6153d000 | 6153e000 num 0 state 0 speed 0 port 0 level 0 slot 0
     kworker/0:0-3233    [000] ..... 36819.062678: xhci_alloc_dev: RS 00000 UNKNOWN speed Ctx Entries 0 MEL 0 us Port# 0/0 [TT Slot 0 Port# 0 TTT 0 Intr 0] Addr 0 State enabled/disabled
     kworker/0:0-3233    [000] d..1. 36819.062717: xhci_get_port_status: port 2-0: 0x00001203 Powered Connected Enabled Link:U0 PortSpeed:4 Change: Wake: 
     kworker/0:0-3233    [000] d.h1. 36819.062827: xhci_handle_event: EVENT: TRB 0000000001000000 status 'Success' len 0 slot 0 ep 0 type 'Port Status Change Event' flags e:C
     kworker/0:0-3233    [000] d.h1. 36819.062831: xhci_handle_port_status: port 2-0: 0x00201203 Powered Connected Enabled Link:U0 PortSpeed:4 Change: PRC Wake: 
